Pais;Mes;Casos;Muertes;PIB;GastoSaludEstado;Poblacion;PorcentajeCasos;PorcentajeMuertes;PorcentajeGastoSalud
Afghanistan;1;0;0;20143.44215;100.1797837;38041757;0;0;0.00497332
Afghanistan;2;1;0;20143.44215;100.1797837;38041757;2.62869E-08;0;0.00497332
Afghanistan;3;140;4;20143.44215;100.1797837;38041757;3.68017E-06;1.05148E-07;0.00497332
Afghanistan;4;1808;56;20143.44215;100.1797837;38041757;4.75267E-05;1.47207E-06;0.00497332
Afghanistan;5;12576;189;20143.44215;100.1797837;38041757;0.000330584;4.96822E-06;0.00497332
Afghanistan;6;16713;484;20143.44215;100.1797837;38041757;0.000439333;1.27229E-05;0.00497332
Afghanistan;7;5304;538;20143.44215;100.1797837;38041757;0.000139426;1.41424E-05;0.00497332
Afghanistan;8;1620;131;20143.44215;100.1797837;38041757;4.25848E-05;3.44358E-06;0.00497332
Afghanistan;9;1092;56;20143.44215;100.1797837;38041757;2.87053E-05;1.47207E-06;0.00497332
Afghanistan;10;2171;78;20143.44215;100.1797837;38041757;5.70689E-05;2.05038E-06;0.00497332
Afghanistan;11;4419;227;20143.44215;100.1797837;38041757;0.000116162;5.96713E-06;0.00497332
Afghanistan;12;3429;208;20143.44215;100.1797837;38041757;9.01378E-05;5.46768E-06;0.00497332
Albania;3;223;12;15131.86627;485.6872664;2862427;7.79059E-05;4.19225E-06;0.032096984
Albania;4;543;19;15131.86627;485.6872664;2862427;0.000189699;6.63772E-06;0.032096984
Albania;5;356;2;15131.86627;485.6872664;2862427;0.00012437;6.98708E-07;0.032096984
Albania;6;1344;25;15131.86627;485.6872664;2862427;0.000469532;8.73385E-06;0.032096984
Albania;7;2731;96;15131.86627;485.6872664;2862427;0.000954085;3.3538E-05;0.032096984
Albania;8;4183;126;15131.86627;485.6872664;2862427;0.001461347;4.40186E-05;0.032096984
Albania;9;4138;104;15131.86627;485.6872664;2862427;0.001445626;3.63328E-05;0.032096984
Albania;10;7116;118;15131.86627;485.6872664;2862427;0.002486002;4.12238E-05;0.032096984
Albania;11;16991;296;15131.86627;485.6872664;2862427;0.005935872;0.000103409;0.032096984
Albania;12;10905;205;15131.86627;485.6872664;2862427;0.003809704;7.16175E-05;0.032096984
Algeria;1;0;0;145009.1815;6635.084724;43053054;0;0;0.045756308
Algeria;2;1;0;145009.1815;6635.084724;43053054;2.32272E-08;0;0.045756308
Algeria;3;583;35;145009.1815;6635.084724;43053054;1.35414E-05;8.1295E-07;0.045756308
Algeria;4;3264;409;145009.1815;6635.084724;43053054;7.58134E-05;9.49991E-06;0.045756308
Algeria;5;5419;202;145009.1815;6635.084724;43053054;0.000125868;4.69189E-06;0.045756308
Algeria;6;4304;259;145009.1815;6635.084724;43053054;9.99697E-05;6.01583E-06;0.045756308
Algeria;7;16260;295;145009.1815;6635.084724;43053054;0.000377674;6.85201E-06;0.045756308
Algeria;8;14315;301;145009.1815;6635.084724;43053054;0.000332497;6.99137E-06;0.045756308
Algeria;9;7222;225;145009.1815;6635.084724;43053054;0.000167747;5.22611E-06;0.045756308
Algeria;10;6283;230;145009.1815;6635.084724;43053054;0.000145936;5.34225E-06;0.045756308
Algeria;11;24570;454;145009.1815;6635.084724;43053054;0.000570691;1.05451E-05;0.045756308
Algeria;12;9881;186;145009.1815;6635.084724;43053054;0.000229508;4.32025E-06;0.045756308
Andorra;3;370;8;2891.022273;144.7771916;76177;0.004857109;0.000105019;0.0500782
Andorra;4;373;34;2891.022273;144.7771916;76177;0.004896491;0.000446329;0.0500782
Andorra;5;21;9;2891.022273;144.7771916;76177;0.000275674;0.000118146;0.0500782
Andorra;6;91;1;2891.022273;144.7771916;76177;0.001194586;1.31273E-05;0.0500782
Andorra;7;67;0;2891.022273;144.7771916;76177;0.000879531;0;0.0500782
Andorra;8;202;1;2891.022273;144.7771916;76177;0.002651719;1.31273E-05;0.0500782
Andorra;9;842;0;2891.022273;144.7771916;76177;0.011053205;0;0.0500782
Andorra;10;2699;22;2891.022273;144.7771916;76177;0.035430642;0.000288801;0.0500782
Andorra;11;2047;1;2891.022273;144.7771916;76177;0.026871628;1.31273E-05;0.0500782
Andorra;12;626;3;2891.022273;144.7771916;76177;0.008217704;3.9382E-05;0.0500782
Angola;3;7;2;53619.07351;657.6168714;31825299;2.19951E-07;6.28431E-08;0.012264607
Angola;4;20;0;53619.07351;657.6168714;31825299;6.28431E-07;0;0.012264607
Angola;5;57;2;53619.07351;657.6168714;31825299;1.79103E-06;6.28431E-08;0.012264607
Angola;6;192;7;53619.07351;657.6168714;31825299;6.03294E-06;2.19951E-07;0.012264607
Angola;7;802;37;53619.07351;657.6168714;31825299;2.52001E-05;1.1626E-06;0.012264607
Angola;8;1546;59;53619.07351;657.6168714;31825299;4.85777E-05;1.85387E-06;0.012264607
Angola;9;2281;72;53619.07351;657.6168714;31825299;7.16725E-05;2.26235E-06;0.012264607
Angola;10;5364;96;53619.07351;657.6168714;31825299;0.000168545;3.01647E-06;0.012264607
Angola;11;4834;71;53619.07351;657.6168714;31825299;0.000151892;2.23093E-06;0.012264607
Angola;12;1085;25;53619.07351;657.6168714;31825299;3.40924E-05;7.85539E-07;0.012264607
Antigua and Barbuda;3;7;0;1370.281481;41.43719975;97115;7.20795E-05;0;0.030239918
Antigua and Barbuda;4;17;3;1370.281481;41.43719975;97115;0.00017505;3.08912E-05;0.030239918
Antigua and Barbuda;5;1;0;1370.281481;41.43719975;97115;1.02971E-05;0;0.030239918
Antigua and Barbuda;6;41;0;1370.281481;41.43719975;97115;0.00042218;0;0.030239918
Antigua and Barbuda;7;25;0;1370.281481;41.43719975;97115;0.000257427;0;0.030239918
Antigua and Barbuda;8;3;0;1370.281481;41.43719975;97115;3.08912E-05;0;0.030239918
Antigua and Barbuda;9;7;0;1370.281481;41.43719975;97115;7.20795E-05;0;0.030239918
Antigua and Barbuda;10;26;0;1370.281481;41.43719975;97115;0.000267724;0;0.030239918
Antigua and Barbuda;11;14;1;1370.281481;41.43719975;97115;0.000144159;1.02971E-05;0.030239918
Antigua and Barbuda;12;7;0;1370.281481;41.43719975;97115;7.20795E-05;0;0.030239918
Argentina;3;966;24;385540.2246;26058.43926;44780675;2.15718E-05;5.35945E-07;0.067589418
Argentina;4;3306;190;385540.2246;26058.43926;44780675;7.38265E-05;4.2429E-06;0.067589418
Argentina;5;11929;314;385540.2246;26058.43926;44780675;0.000266387;7.01195E-06;0.067589418
Argentina;6;46054;752;385540.2246;26058.43926;44780675;0.001028435;1.6793E-05;0.067589418
Argentina;7;116728;2031;385540.2246;26058.43926;44780675;0.00260666;4.53544E-05;0.067589418
Argentina;8;222243;5090;385540.2246;26058.43926;44780675;0.004962922;0.000113665;0.067589418
Argentina;9;335370;8118;385540.2246;26058.43926;44780675;0.007489168;0.000181284;0.067589418
Argentina;10;420570;14273;385540.2246;26058.43926;44780675;0.009391774;0.000318731;0.067589418
Argentina;11;261628;7681;385540.2246;26058.43926;44780675;0.005842431;0.000171525;0.067589418
Argentina;12;79366;2293;385540.2246;26058.43926;44780675;0.001772327;5.12051E-05;0.067589418
Armenia;1;0;0;12641.69752;219.3359804;2957728;0;0;0.0173502
Armenia;2;0;0;12641.69752;219.3359804;2957728;0;0;0.0173502
Armenia;3;532;3;12641.69752;219.3359804;2957728;0.000179868;1.01429E-06;0.0173502
Armenia;4;1534;29;12641.69752;219.3359804;2957728;0.000518641;9.80482E-06;0.0173502
Armenia;5;7216;99;12641.69752;219.3359804;2957728;0.00243971;3.34716E-05;0.0173502
Armenia;6;16260;312;12641.69752;219.3359804;2957728;0.005497463;0.000105486;0.0173502
Armenia;7;13008;295;12641.69752;219.3359804;2957728;0.00439797;9.97387E-05;0.0173502
Armenia;8;5200;139;12641.69752;219.3359804;2957728;0.001758106;4.69955E-05;0.0173502
Armenia;9;6151;81;12641.69752;219.3359804;2957728;0.002079637;2.73859E-05;0.0173502
Armenia;10;39912;383;12641.69752;219.3359804;2957728;0.013494141;0.000129491;0.0173502
Armenia;11;45311;823;12641.69752;219.3359804;2957728;0.015319529;0.000278254;0.0173502
Armenia;12;13558;339;12641.69752;219.3359804;2957728;0.004583924;0.000114615;0.0173502
Australia;1;7;0;1326901.059;102264.3581;25203200;2.77743E-07;0;0.07707007
Australia;2;18;0;1326901.059;102264.3581;25203200;7.14195E-07;0;0.07707007
Australia;3;4532;19;1326901.059;102264.3581;25203200;0.000179818;7.53873E-07;0.07707007
Australia;4;2189;71;1326901.059;102264.3581;25203200;8.68541E-05;2.8171E-06;0.07707007
Australia;5;439;12;1326901.059;102264.3581;25203200;1.74184E-05;4.7613E-07;0.07707007
Australia;6;582;2;1326901.059;102264.3581;25203200;2.30923E-05;7.9355E-08;0.07707007
Australia;7;8536;85;1326901.059;102264.3581;25203200;0.000338687;3.37259E-06;0.07707007
Australia;8;9367;422;1326901.059;102264.3581;25203200;0.000371659;1.67439E-05;0.07707007
Australia;9;1393;271;1326901.059;102264.3581;25203200;5.52708E-05;1.07526E-05;0.07707007
Australia;10;519;25;1326901.059;102264.3581;25203200;2.05926E-05;9.91938E-07;0.07707007
Australia;11;311;0;1326901.059;102264.3581;25203200;1.23397E-05;0;0.07707007
Australia;12;138;1;1326901.059;102264.3581;25203200;5.4755E-06;3.96775E-08;0.07707007
Austria;1;0;0;435225.238;40063.6845;8858775;0;0;0.09205276
Austria;2;7;0;435225.238;40063.6845;8858775;7.90177E-07;0;0.09205276
Austria;3;9611;108;435225.238;40063.6845;8858775;0.001084913;1.21913E-05;0.09205276
Austria;4;5746;472;435225.238;40063.6845;8858775;0.000648622;5.32805E-05;0.09205276
Austria;5;1274;88;435225.238;40063.6845;8858775;0.000143812;9.93365E-06;0.09205276
Austria;6;1028;35;435225.238;40063.6845;8858775;0.000116043;3.95088E-06;0.09205276
Austria;7;3343;15;435225.238;40063.6845;8858775;0.000377366;1.69324E-06;0.09205276
