_id,id_local,desc_distrito_local,desc_barrio_local,clase_vial_edificio,desc_situacion_local,Nombre,desc_periodo_terraza,desc_situacion_terraza,DESC_CLASE,DESC_NOMBRE,desc_ubicacion_terraza
7,280067128,SAN BLAS-CANILLEJAS ,ROSAS               ,CALLE                   ,Abierto,SR,Estacional,Abierta,CALLE                   ,SOFIA                                             ,Acera
32,270068967,SALAMANCA           ,RECOLETOS           ,CALLE                   ,Abierto,JURUCHA,Estacional,Abierta,CALLE                   ,AYALA                                             ,Acera
33,270403150,SALAMANCA           ,GUINDALERA          ,AVENIDA                 ,Abierto,HONTANARES,Anual,Abierta,AVENIDA                 ,AMERICA                                           ,Acera
34,270078567,SALAMANCA           ,GUINDALERA          ,CALLE                   ,Abierto,BAR MARISQUERIA LUIS,Anual,Abierta,CALLE                   ,ALONSO HEREDIA                                    ,Calle peatonal
36,40002021,SALAMANCA           ,GUINDALERA          ,CALLE                   ,Abierto,SAGAR,Estacional,Abierta,CALLE                   ,ALONSO HEREDIA                                    ,Calle peatonal
40,40002808,SALAMANCA           ,RECOLETOS           ,CALLE                   ,Abierto,WAGABOO,Anual,Abierta,CALLE                   ,AYALA                                             ,Acera
41,270495851,SALAMANCA           ,RECOLETOS           ,CALLE                   ,Abierto,THE JAMES JOYCE IRISH PUB,Anual,Abierta,CALLE                   ,ALCALA                                            ,Acera
44,40001459,SALAMANCA           ,GUINDALERA          ,AVENIDA                 ,Abierto,HOTEL ABBA MADRID,Estacional,Abierta,AVENIDA                 ,AMERICA                                           ,Acera
50,180000457,VILLA DE VALLECAS   ,CASCO H.VALLECAS    ,PLAZA                   ,Abierto,LA PLAZA,Anual,Abierta,PLAZA                   ,JUAN DE MALASA?A                                  ,Plaza peatonal
51,270076142,SALAMANCA           ,GUINDALERA          ,CALLE                   ,Abierto,EL NUEVO RINC?N DE JA?N,Estacional,Abierta,CALLE                   ,ALCALA                                            ,Acera
52,270071068,SALAMANCA           ,GOYA                ,CALLE                   ,Abierto,VIENA CAPELLANES,Anual,Abierta,CALLE                   ,ALCALA                                            ,Acera
54,280062208,VILLAVERDE          ,SAN CRISTOBAL       ,CALLE                   ,Abierto,BAR LAS TORRES,Estacional,Abierta,CALLE                   ,MONCADA                                           ,Acera
56,170000773,VILLAVERDE          ,LOS ROSALES         ,CALLE                   ,Abierto, KEBAB ARMENIA,Estacional,Abierta,CALLE                   ,VILLAJOYOSA                                       ,Acera
58,270075832,SALAMANCA           ,FUENTE DEL BERRO    ,CALLE                   ,Abierto,CAFETERIA PARISIENA,Estacional,Abierta,CALLE                   ,ALCALA                                            ,Acera
59,40001037,SALAMANCA           ,RECOLETOS           ,CALLE                   ,Abierto,BAR-RESTAURANTE,Anual,Abierta,CALLE                   ,ALCALA                                            ,Acera
60,180000598,VILLA DE VALLECAS   ,CASCO H.VALLECAS    ,CALLE                   ,Abierto,EL RINCON DEL TIO PEPE,Anual,Abierta,CALLE                   ,PE?A DE VARGAS                                    ,Acera
63,270266255,VILLA DE VALLECAS   ,CASCO H.VALLECAS    ,CALLE                   ,Abierto,BAR  SAN JULIAN,Estacional,Abierta,CALLE                   ,CONGOSTO                                          ,Acera
66,200000837,SAN BLAS-CANILLEJAS ,SIMANCAS            ,CALLE                   ,Abierto,BAR JOSUE,Anual,Abierta,CALLE                   ,MIERES                                            ,Acera
67,280067055,SAN BLAS-CANILLEJAS ,REJAS               ,COLONIA                 ,Abierto,RESTAURANTE BAR TORRES,Anual,Abierta,COLONIA                 ,OCCIDENTE                                         ,Acera
68,270201818,VILLAVERDE          ,SAN ANDRES          ,CALLE                   ,Abierto,BONGO CAFE,Estacional,Abierta,PASEO                   ,ALBERTO PALACIOS                                  ,Acera
69,270380946,SALAMANCA           ,RECOLETOS           ,CALLE                   ,Abierto,EL ARBOL Y LA TOSTA,Anual,Abierta,CALLE                   ,ALCALA                                            ,Acera
72,210000683,BARAJAS             ,TIMON               ,CALLE                   ,Abierto,BURGER KING,Estacional,Abierta,AVENIDA                 ,LOGRO?O                                           ,Acera
73,280060978,VILLA DE VALLECAS   ,ENSANCHE DE VALLECAS,AVENIDA                 ,Abierto,RESTAURANTE 40 & CUATRO,Anual,Abierta,CALLE                   ,ENTREPE?AS                                        ,Acera
74,270202022,VILLA DE VALLECAS   ,CASCO H.VALLECAS    ,CALLE                   ,Abierto,BAR-RESTAURANTE,Anual,Abierta,CALLE                   ,SIERRA GORDA                                      ,Calle peatonal
76,170001120,VILLAVERDE          ,BUTARQUE            ,CALLE                   ,Abierto,CERVECERIA MINERVA,Estacional,Abierta,CALLE                   ,BERROCAL                                          ,Acera
77,170000836,VILLAVERDE          ,LOS ROSALES         ,PLAZA                   ,Abierto,BAR DONDE SIEMPRE,Anual,Abierta,PLAZA                   ,CHOZAS DE CANALES                                 ,Plaza peatonal
78,170001098,VILLAVERDE          ,LOS ROSALES         ,CALLE                   ,Abierto,LA PARADA ESQUINA,Estacional,Abierta,CALLE                   ,MARIA BARRIENTOS                                  ,Acera
79,270228707,VILLAVERDE          ,SAN ANDRES          ,PASEO                   ,Abierto,BURGUER CAROVI,Anual,Abierta,PASEO                   ,ALBERTO PALACIOS                                  ,Acera
80,170000967,VILLAVERDE          ,LOS ANGELES         ,CALLE                   ,Abierto,A GAIVOTI?A II,Anual,Abierta,CALLE                   ,LA DEL MANOJO DE ROSAS                            ,Acera
81,170000259,VILLAVERDE          ,LOS ANGELES         ,PASEO                   ,Abierto,PE?A DE FRANCIA,Anual,Abierta,PASEO                   ,TALLERES                                          ,Acera
82,270456160,VILLAVERDE          ,SAN ANDRES          ,PASEO                   ,Abierto,LUCKY,Anual,Abierta,PASEO                   ,TALLERES                                          ,Acera
83,170002005,VILLAVERDE          ,LOS ANGELES         ,CALLE                   ,Abierto,EL KUBO,Anual,Abierta,CALLE                   ,LA DEL MANOJO DE ROSAS                            ,Plaza peatonal
84,270181857,VILLAVERDE          ,SAN ANDRES          ,PLAZA                   ,Abierto,BAR ASTURIAS,Anual,Abierta,PLAZA                   ,MAYOR DE VILLAVERDE                               ,Plaza peatonal
85,270379680,VILLAVERDE          ,LOS ROSALES         ,AVENIDA                 ,Abierto,LA ABUELA,Estacional,Abierta,AVENIDA                 ,OROVILLA                                          ,Acera
86,170000257,VILLAVERDE          ,LOS ANGELES         ,CALLE                   ,Abierto,BAR PEMA,Anual,Abierta,CALLE                   ,PAN Y TOROS                                       ,Acera
87,270286727,VILLAVERDE          ,LOS ANGELES         ,CALLE                   ,Abierto,CASA MONICA,Anual,Abierta,CALLE                   ,PAN Y TOROS                                       ,Acera
88,180000366,VILLA DE VALLECAS   ,SANTA EUGENIA       ,CALLE                   ,Abierto,EL JARDIN DEL BACO,Anual,Abierta,CALLE                   ,CASTRILLO DE AZA                                  ,Acera
89,270324826,VILLA DE VALLECAS   ,SANTA EUGENIA       ,CALLE                   ,Abierto,CERVECERIA LA TOMASA,Anual,Abierta,CALLE                   ,PUENTELARRA                                       ,Acera
91,270032503,VILLA DE VALLECAS   ,SANTA EUGENIA       ,CALLE                   ,Abierto,BAR  LA HACIENDA,Anual,Abierta,CALLE                   ,PUENTELARRA                                       ,Acera
95,270184841,VILLA DE VALLECAS   ,SANTA EUGENIA       ,CALLE                   ,Abierto,CERVECERIA LA TORRE,Anual,Abierta,CALLE                   ,PUENTELARRA                                       ,Acera
98,270185092,VILLA DE VALLECAS   ,SANTA EUGENIA       ,CALLE                   ,Abierto,EL JARDIN DE BACO II,Anual,Abierta,CALLE                   ,FUENTESPINA                                       ,Acera
101,170000673,VILLAVERDE          ,SAN ANDRES          ,PASEO                   ,Abierto,ESTUDIO VILLAVERDE ALTO, SL,Estacional,Abierta,PASEO                   ,ALBERTO PALACIOS                                  ,Calle peatonal
102,270456985,VILLAVERDE          ,SAN ANDRES          ,PASEO                   ,Abierto,LAS BEGONIAS,Anual,Abierta,PASEO                   ,ALBERTO PALACIOS                                  ,Acera
103,170000832,VILLAVERDE          ,LOS ANGELES         ,CALLE                   ,Abierto,BAR CASA CONEL,Anual,Abierta,CALLE                   ,ANOETA                                            ,Acera
104,170001203,VILLAVERDE          ,BUTARQUE            ,CALLE                   ,Abierto,PASTELERIA PANADERIA CAFETERIA CHICO,Estacional,Abierta,CALLE                   ,CANCHAL                                           ,Acera
105,170000724,VILLAVERDE          ,SAN ANDRES          ,PASEO                   ,Abierto,BAR LAS NI?AS,Anual,Abierta,PASEO                   ,ALBERTO PALACIOS                                  ,Acera
106,270181482,VILLAVERDE          ,SAN ANDRES          ,CALLE                   ,Abierto,BAR MEZQUITA,Anual,Abierta,CALLE                   ,GRAFITO                                           ,Acera
107,170000308,VILLAVERDE          ,SAN ANDRES          ,CALLE                   ,Abierto,BAR RENATO,Estacional,Abierta,CALLE                   ,ALCOCER                                           ,Bulevar
108,270020492,VILLAVERDE          ,SAN CRISTOBAL       ,CALLE                   ,Abierto,PEREZ CAFETERIA,Anual,Abierta,CALLE                   ,BENIMAMET                                         ,Acera
109,270539656,VILLAVERDE          ,BUTARQUE            ,CALLE                   ,Abierto,100 MONTADITOS,Anual,Abierta,CALLE                   ,BERROCAL                                          ,Acera
110,270183511,VILLAVERDE          ,LOS ANGELES         ,CALLE                   ,Abierto,RESTAURANTE GALLARDO,Anual,Abierta,CALLE                   ,HERMANDAD DE DONANTES DE SANGRE                   ,Acera
111,270023348,VILLAVERDE          ,LOS ANGELES         ,CALLE                   ,Abierto,LA ATALAYA,Estacional,Abierta,CALLE                   ,EL HUESPED DEL SEVILLANO                          ,Acera
112,170000123,VILLAVERDE          ,LOS ANGELES         ,CALLE                   ,Abierto,ALQUEZAR LA BODEGA DE COTE,Anual,Abierta,CALLE                   ,LA CANCION DEL OLVIDO                             ,Acera
113,270314735,VILLAVERDE          ,BUTARQUE            ,AVENIDA                 ,Abierto,BAR SALINAS,Anual,Abierta,AVENIDA                 ,LOS ROSALES                                       ,Otros
114,170000009,VILLAVERDE          ,LOS ANGELES         ,CALLE                   ,Abierto,JOSE,Anual,Abierta,CALLE                   ,LA DEL MANOJO DE ROSAS                            ,Acera
115,270488062,VILLAVERDE          ,SAN ANDRES          ,CALLE                   ,Abierto,CAFE SAXO,Estacional,Abierta,PLAZA                   ,MAYOR DE VILLAVERDE                               ,Plaza peatonal
116,170000013,VILLAVERDE          ,SAN CRISTOBAL       ,CALLE                   ,Abierto,CERVECERIA SAN CRISTOBAL,Estacional,Abierta,CALLE                   ,ROCAFORT                                          ,Acera
